Show_Duration,Show_Name,Ticket_Type,Theater,On_Sale,Address,Price,Categories,Performance,Capacity
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Mezzanine"",""Orchestra"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Balcony"",""Orchestra"",""Balcony"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","227.5,57.5,169.5,122.5,145.5,145.5,122.5,155.5,155.5,149.5,227.5,227.5,159.5,112.5,169.5,99.5,57.5,122.5,99.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-01T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Balcony"",""Mezzanine"",""Balcony"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine"",""Balcony""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,215.5,215.5,122.5,167.5,167.5,145.5,122.5,95.5,112.5,112.5,112.5,99.5,57.5,57.5,112.5,57.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-02T13:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Balcony"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,215.5,215.5,142.5,132.5,112.5,132.5,99.5,147.5,147.5,57.5,99.5,132.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-02T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Balcony"",""Mezzanine"",""Balcony"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,160.5,215.5,215.5,160.5,107.5,136.5,99.5,57.5,127.5,127.5,99.5,127.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-03T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Balcony"",""Balcony"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,215.5,215.5,165.5,165.5,159.5,149.5,112.5,99.5,57.5,127.5,127.5,99.5,127.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-04T20:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Balcony"",""Balcony"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Orchestra"",""Mezzanine"",""Balcony""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,215.5,215.5,166.5,166.5,107.5,122.5,122.5,95.5,159.5,107.5,139.5,112.5,99.5,147.5,107.5,57.5,57.5,107.5,57.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-05T14:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Balcony"",""Balcony"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,170.5,170.5,215.5,215.5,122.5,122.5,112.5,99.5,147.5,57.5,122.5,99.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-05T20:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Balcony"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Balcony"",""Balcony"",""Balcony"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","199.5,57.5,102.5,102.5,153.5,102.5,165.5,165.5,129.5,142.5,142.5,79.5,92.5,112.5,199.5,199.5,57.5,102.5,79.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-06T15:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Balcony"",""Balcony"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","227.5,57.5,145.5,145.5,159.5,129.5,227.5,129.5,159.5,137.5,112.5,99.5,57.5,129.5,99.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-08T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Balcony"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Balcony"",""Mezzanine"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,105.5,215.5,215.5,162.5,162.5,149.5,135.5,135.5,112.5,112.5,132.5,112.5,57.5,112.5,105.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-09T13:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Balcony"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Balcony"",""Balcony"",""Orchestra"",""Mezzanine"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","199.5,57.5,117.5,97.5,155.5,155.5,149.5,149.5,135.5,117.5,92.5,112.5,199.5,199.5,57.5,117.5,92.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-09T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Orchestra"",""Mezzanine"",""Orchestra"",""Balcony"",""Orchestra"",""Mezzanine"",""Balcony"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","227.5,57.5,161.5,161.5,117.5,97.5,227.5,227.5,112.5,57.5,117.5,97.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-10T19:00:00-04:00""",1801
"""2hrs, 30mins""","""Aladdin""","""Premium"",""Standard"",""Mezzanine"",""Orchestra"",""Mezzanine"",""Orchestra"",""Orchestra"",""Orchestra"",""Mezzanine"",""Balcony"",""Balcony"",""Mezzanine"",""Orchestra"",""Balcony"",""Mezzanine""","""New Amsterdam Theatre""",TRUE,"""214 West 42nd Street""","215.5,57.5,167.5,215.5,215.5,167.5,159.5,139.5,139.5,112.5,99.5,57.5,139.5,99.5,57.5","""2014 Tony Winners, Broadway, Comedy, Kid-Friendly, Musicals""","""2017-08-11T20:00:00-04:00""",1801
