Performance,Categories,Price,On_Sale,Capacity,Theater,Ticket_Type,Show_Duration,Address,Show_Name
"""2017-08-01T19:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","200,69,130,130,110,110,200,69,89,69,130,69,69",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-02T14:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","249,69,249,110,110,169,169,89,69,110,169,69",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-04T20:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","79,225,149,149,99,79,79,119,119,109,225,149,79,79",true,1509,"""Lunt-Fontanne Theatre""","""Standard"",""Premium"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-05T14:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","249,79,249,149,149,99,79,79,119,119,109,149,79,79",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-05T20:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","79,225,149,149,99,79,79,119,119,109,225,149,79,79",true,1509,"""Lunt-Fontanne Theatre""","""Standard"",""Premium"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-06T13:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","79,225,149,149,99,79,79,119,119,109,225,149,79,79",true,1509,"""Lunt-Fontanne Theatre""","""Standard"",""Premium"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-06T18:30:00-04:00""","""Broadway, Kid-Friendly, Musicals""","200,69,130,130,110,110,200,89,69,89,69,130,69,69",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-07T19:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","200,69,130,130,110,110,200,89,69,69,130,69,69",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-08T19:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","200,69,130,130,110,110,200,89,69,69,130,69,69",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
"""2017-08-09T14:00:00-04:00""","""Broadway, Kid-Friendly, Musicals""","200,79,200,169,169,79,129,129,169,79,129",true,1509,"""Lunt-Fontanne Theatre""","""Premium"",""Standard"",""Orchestra"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""205 West 46th Street""","""Charlie and the Chocolate Factory"""
