Capacity,Ticket_Type,Price,Show_Duration,On_Sale,Theater,Address,Performance,Show_Name,Categories
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-01T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Premium"",""Orchestra""","849,849","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-02T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-02T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-03T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-04T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-05T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-05T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-06T15:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-08T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Premium"",""Orchestra""","849,849","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-09T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-09T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-10T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-11T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-12T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-08-12T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
